address,link,price,bedrooms,bathrooms,floor_area,year_built,date_scraped
40 Beo Crescent,https://www.99.co/singapore/sale/property/40-beo-crescent-hdb-FguxCTveGZSj9z2XjWayQT?enquiry_position=1&enquiry_source=Search,"$260,000",3,1,58.99,1971,2020-07-18 17:01:43.228176
475B Upper Serangoon Crescent,https://www.99.co/singapore/sale/property/475b-upper-serangoon-crescent-hdb-baJWGrK7YfFRhMyaB7DpWb?enquiry_position=2&enquiry_source=Search,"$675,000",3,2,91.97,,2020-07-18 17:01:43.228176
298A Compassvale Street,https://www.99.co/singapore/sale/property/298a-compassvale-street-hdb-arYm7KTPZWUFP86BSAf4UQ?enquiry_position=3&enquiry_source=Search,"$628,000",3,2,133.96,2001,2020-07-18 17:01:43.228176
2 Beach Road,https://www.99.co/singapore/sale/property/2-beach-road-hdb-fvzSdYVbjSwKKLZHcpdjXP?enquiry_position=4&enquiry_source=Search,"$300,000",3,2,68.00,1979,2020-07-18 17:01:43.228176
528C Pasir Ris Street 51,https://www.99.co/singapore/sale/property/528c-pasir-ris-street-51-hdb-FPFX5fhtNZSum6Jphc8rS?enquiry_position=5&enquiry_source=Search,"$585,000",3,2,92.90,2015,2020-07-18 17:01:43.228176
520C Tampines Central 8,https://www.99.co/singapore/sale/property/520c-tampines-central-8-hdb-A7HRPhDxEZbPA957vCXNS5?enquiry_position=6&enquiry_source=Search,"$510,000",2,2,61.96,2014,2020-07-18 17:01:43.228176
352 Woodlands Avenue 1,https://www.99.co/singapore/sale/property/352-woodlands-avenue-1-hdb-Zvy8jbivdyznDoJvTo2EAe?enquiry_position=7&enquiry_source=Search,"$460,000",3,2,123.00,1996,2020-07-18 17:01:43.228176
66 Marine Drive,https://www.99.co/singapore/sale/property/66-marine-drive-hdb-zZM5u9u6dtQAXtPjudy7Vb?enquiry_position=8&enquiry_source=Search,"$480,000",1,1,75.99,1976,2020-07-18 17:01:43.228176
116 Pasir Ris Street 11,https://www.99.co/singapore/sale/property/116-pasir-ris-street-11-hdb-J2VbwZ8UrkN4LVHc6neCjZ?enquiry_position=9&enquiry_source=Search,"$688,000",3,3,145.02,1989,2020-07-18 17:01:43.228176
2 Everton Park,https://www.99.co/singapore/sale/property/2-everton-park-hdb-D6rsa3BtvxAmSvE4c7oU5G?enquiry_position=10&enquiry_source=Search,"$2,047,000",2,3,126.99,1980,2020-07-18 17:01:43.228176
135 Edgedale Plains,https://www.99.co/singapore/sale/property/135-edgedale-plains-hdb-n7a3PzMQ2o9NpbinaZyRrD?enquiry_position=11&enquiry_source=Search,"$410,000",3,2,111.01,2003,2020-07-18 17:01:43.228176
73 Geylang Bahru,https://www.99.co/singapore/sale/property/73-geylang-bahru-hdb-wttSSYT9BGhw2cnCMYS3uJ?enquiry_position=12&enquiry_source=Search,"$280,000",2,1,59.92,1974,2020-07-18 17:01:43.228176
428 Bedok North Road,https://www.99.co/singapore/sale/property/428-bedok-north-road-hdb-EsGM5mRAZuu2sGwCVCemc9?enquiry_position=13&enquiry_source=Search,"$440,000",3,2,91.97,1979,2020-07-18 17:01:43.228176
28 Kelantan Road,https://www.99.co/singapore/sale/property/28-kelantan-road-hdb-eiFZrHbXbPdboPP2MA56HP?enquiry_position=14&enquiry_source=Search,"$405,000",2,1,73.95,1977,2020-07-18 17:01:43.228176
18 Joo Seng Road,https://www.99.co/singapore/sale/property/18-joo-seng-road-hdb-VCz7fm7fSSxGp2DTmfbzBR?enquiry_position=15&enquiry_source=Search,"$389,400",2,2,105.90,1984,2020-07-18 17:01:43.228176
