No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,price,link
3.0,1,58.99,50,1.289057892,103.827513,0.46882753775166297,1.1034394953636746,4.034672757821012,5.445615150098863,0.32347378813519645,0.25964112157900016,260000.0,https://www.99.co/singapore/sale/property/40-beo-crescent-hdb-FguxCTveGZSj9z2XjWayQT?enquiry_position=1&enquiry_source=Search
3.0,2,133.96,80,1.3951670980000002,103.9017895,0.370652606175286,0.24304552438865618,4.472448227952922,5.937738117741525,0.16250009988633476,0.06149392337499647,628000.0,https://www.99.co/singapore/sale/property/298a-compassvale-street-hdb-arYm7KTPZWUFP86BSAf4UQ?enquiry_position=3&enquiry_source=Search
3.0,2,68.0,58,1.304033006,103.8649284,0.8377083679246278,1.991990326036837,3.201552416356574,8.29522351087517,0.44238237200409536,0.45855234956810714,300000.0,https://www.99.co/singapore/sale/property/2-beach-road-hdb-fvzSdYVbjSwKKLZHcpdjXP?enquiry_position=4&enquiry_source=Search
3.0,2,92.9,94,1.3709853090000002,103.9482169,0.5509930461289526,0.44692114841791214,1.3471882480317205,3.229681014934245,0.25330836614806096,0.22258875165387465,585000.0,https://www.99.co/singapore/sale/property/528c-pasir-ris-street-51-hdb-FPFX5fhtNZSum6Jphc8rS?enquiry_position=5&enquiry_source=Search
2.0,2,61.96,93,1.3567417080000002,103.9396924,0.8184750896043349,0.7842809421408193,2.236600180479344,1.3910408307537878,0.4090365116155117,0.35844393794174917,510000.0,https://www.99.co/singapore/sale/property/520c-tampines-central-8-hdb-A7HRPhDxEZbPA957vCXNS5?enquiry_position=6&enquiry_source=Search
3.0,2,123.0,75,1.431642419,103.7845206,0.18271849860596107,0.8244553761454495,5.0753117107011425,1.2370464525657507,0.6007896330048103,0.3320633082321508,460000.0,https://www.99.co/singapore/sale/property/352-woodlands-avenue-1-hdb-Zvy8jbivdyznDoJvTo2EAe?enquiry_position=7&enquiry_source=Search
1.0,1,75.99,55,1.30391193,103.9097405,0.9091972517088048,1.4741606945677683,1.10674764913376,5.057078116322448,1.467073925071111,0.350565940649982,480000.0,https://www.99.co/singapore/sale/property/66-marine-drive-hdb-zZM5u9u6dtQAXtPjudy7Vb?enquiry_position=8&enquiry_source=Search
3.0,3,145.02,68,1.36840453,103.9544838,0.5788667211126556,0.44307009199180797,2.0979956736039447,3.374458352620055,0.7736787115045933,0.22553873713446468,688000.0,https://www.99.co/singapore/sale/property/116-pasir-ris-street-11-hdb-J2VbwZ8UrkN4LVHc6neCjZ?enquiry_position=9&enquiry_source=Search
2.0,3,126.99,59,1.277416303,103.8393308,0.22243416221804307,1.0286462155199967,5.263472411706019,7.1931894855183875,0.2565121337214582,0.22132088921603502,2047000.0,https://www.99.co/singapore/sale/property/2-everton-park-hdb-D6rsa3BtvxAmSvE4c7oU5G?enquiry_position=10&enquiry_source=Search
3.0,2,111.01,82,1.392092062,103.9100225,0.5564925756002347,0.6022459386062097,3.504186889878983,5.336598116046013,0.3488650742607536,0.23656206482531014,410000.0,https://www.99.co/singapore/sale/property/135-edgedale-plains-hdb-n7a3PzMQ2o9NpbinaZyRrD?enquiry_position=11&enquiry_source=Search
