No of bedrooms,No of bathrooms,floor_area_sqm,remaining_lease,LAT,LON,distance_to_primary_school,distance_to_seconday_school,distance_to_junior_college,distance_to_polytechnic,distance_to_mrt_lrt,distance_to_preschool,resale_price,random_forest,XGBoost,Clustering,difference_with_random_forest,difference_with_XGBoost,difference_with_Clustering
3.0,2.0,92.0,60.0,1.3808,103.8424,0.4488499137586349,0.22637922576513275,0.37464412947330805,0.560155254382428,0.2921279885956816,0.24509787693324564,421000.0,417691.13,409852.47,430000.0,3308.8699999999953,11147.53125,-9000.0
3.0,2.0,93.0,94.0,1.3948,103.8772,0.31467303946327185,0.5152654962724601,3.8828051226918996,3.305981307769422,0.32963977057887406,0.24310763405063118,455000.0,421932.5145479518,435032.97,426250.0,33067.48545204819,19967.03125,28750.0
2.0,2.0,67.0,65.0,1.3573,103.8736,0.5349815894718206,0.40925501637171874,1.1099247940560686,3.390030916786445,0.7431160166730499,0.3096480116366423,270000.0,289833.7733333333,301808.47,299500.0,-19833.773333333316,-31808.46875,-29500.0
3.0,2.0,120.0,79.0,1.3424,103.7058,0.7861656300100409,0.4205401668516689,7.117426918324627,7.388586031401304,0.42251133151306836,0.13872928600812828,525000.0,519437.44,535686.25,521000.0,5562.559999999998,-10686.25,4000.0
3.0,2.0,121.0,80.0,1.4459,103.8204,0.11764444028219062,0.400680884421443,2.5794046409112057,3.7281280714238423,0.3488754606958413,0.0057121212208010586,390000.0,441496.66666666674,431450.4,439250.0,-51496.666666666744,-41450.40625,-49250.0
2.0,2.0,68.0,61.0,1.371,103.8579,0.6841035880224227,0.7774816126793598,1.5684603019924,1.0739566046892497,0.9348649526890398,0.11878282813401678,250000.0,294876.2202380952,282636.12,283250.0,-44876.22023809521,-32636.125,-33250.0
3.0,2.0,97.0,93.0,1.4058,103.9058,0.06932011984090403,0.5504656185918307,4.785318788377311,6.712127428621476,0.3179190732848034,0.15154072752543377,510000.0,540745.4555714286,523125.28,535222.0,-30745.45557142864,-13125.28125,-25222.0
2.0,2.0,73.0,58.0,1.3261,103.9274,0.6850729664292745,0.7388266296811468,1.245737588370882,1.9797738839912942,0.3688696907683449,0.2581369828809457,340000.0,319346.29666666663,330820.47,331250.0,20653.703333333367,9179.53125,8750.0
3.0,2.0,84.0,66.0,1.3253,103.8589,0.79529617067126,0.24255656895903432,0.9761133599911354,5.845455091214479,0.6744553783507936,0.253294499805794,370000.0,405811.8883333332,397957.16,391000.0,-35811.88833333319,-27957.15625,-21000.0
2.0,2.0,64.0,65.0,1.3521,103.8733,0.6497950303528277,0.5126893625096814,0.782583326519434,3.777857466076201,0.1733097626129082,0.3097954226225064,430000.0,394169.4838095238,358729.72,397750.0,35830.51619047619,71270.28125,32250.0
