address,link,price,bedrooms,bathrooms,floor_area,list_date,year_built,date_scraped
311C Clementi Avenue 4,https://www.propertyguru.com.sg/listing/hdb-for-sale-311c-clementi-avenue-4-22219998,"799,000",3 ,2 ,883,11s,2015,2020-07-15 17:14:41.615238
230 Jurong East Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-230-jurong-east-street-21-22991821,"490,000",3 ,2 ,1291,35s,1981,2020-07-15 17:14:41.615238
307 Jurong East Street 32,https://www.propertyguru.com.sg/listing/hdb-for-sale-307-jurong-east-street-32-22991826,"550,000",3 ,2 ,1431,46s,1983,2020-07-15 17:14:41.615238
142 Jalan Bukit Merah,https://www.propertyguru.com.sg/listing/hdb-for-sale-142-jalan-bukit-merah-22991830,"320,000",2 ,2 ,721,1m,1978,2020-07-15 17:14:41.615238
29 Marine Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-29-marine-crescent-21999294,"798,000",3 ,2 ,1291,2m,1974,2020-07-15 17:14:41.615238
308A Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308a-punggol-walk-22792850,"560,000",3 ,2 ,990,3m,2015,2020-07-15 17:14:41.615238
132 Lorong Ah Soo,https://www.propertyguru.com.sg/listing/hdb-for-sale-132-lorong-ah-soo-22895063,"650,000",4 ,2 ,1625,3m,1983,2020-07-15 17:14:41.615238
664A Punggol Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-664a-punggol-drive-22789422,"600,000",3 ,2 ,1184,3m,2015,2020-07-15 17:14:41.615238
308A Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308a-punggol-walk-22973149,"438,000",2 ,2 ,721,5m,2015,2020-07-15 17:14:41.615238
308A Punggol Walk,https://www.propertyguru.com.sg/listing/hdb-for-sale-308a-punggol-walk-22914763,"550,000",3 ,2 ,990,7m,2015,2020-07-15 17:14:41.615238
426D Yishun Ave 11,https://www.propertyguru.com.sg/listing/hdb-for-sale-426d-yishun-ave-11-22436421,"499,000",3 ,2 ,1205,8m,2013,2020-07-15 17:14:41.615238
250 Tampines Street 21,https://www.propertyguru.com.sg/listing/hdb-for-sale-250-tampines-street-21-22361237,"440,000",3 ,2 ,1119,8m,1983,2020-07-15 17:14:41.615238
275D Compassvale Link,https://www.propertyguru.com.sg/listing/hdb-for-sale-275d-compassvale-link-22220532,"590,000",3 ,2 ,990,9m,2007,2020-07-15 17:14:41.615238
261B Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-261b-punggol-way-22937798,"400,000",3 ,2 ,990,10m,2014,2020-07-15 17:14:41.615238
408 Bedok North Avenue 2,https://www.propertyguru.com.sg/listing/hdb-for-sale-408-bedok-north-avenue-2-22135751,"438,000",3 ,2 ,990,12m,1979,2020-07-15 17:14:41.615238
119B Kim Tian Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-119b-kim-tian-road-22505887,"750,000",3 ,2 ,990,13m,2001,2020-07-15 17:14:41.615238
413 Bedok North Avenue 2,https://www.propertyguru.com.sg/listing/hdb-for-sale-413-bedok-north-avenue-2-21277335,"575,000",3 ,2 ,1281,14m,1978,2020-07-15 17:14:41.615238
266A Punggol Way,https://www.propertyguru.com.sg/listing/hdb-for-sale-266a-punggol-way-22251365,"590,000",3 ,2 ,1205,15m,2014,2020-07-15 17:14:41.615238
408 Bedok North Avenue 2,https://www.propertyguru.com.sg/listing/hdb-for-sale-408-bedok-north-avenue-2-22885390,"408,000",3 ,2 ,990,15m,1979,2020-07-15 17:14:41.615238
259C Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-259c-punggol-field-22884600,"448,000",3 ,2 ,1001,15m,2014,2020-07-15 17:14:41.615238
259C Punggol Field,https://www.propertyguru.com.sg/listing/hdb-for-sale-259c-punggol-field-22884600,"448,000",3 ,2 ,1001,15m,2014,2020-07-15 17:14:41.615238
106 Lengkong Tiga,https://www.propertyguru.com.sg/listing/hdb-for-sale-106-lengkong-tiga-22789393,"888,000",4 ,2 ,1571,15m,1988,2020-07-15 17:14:41.615238
512 Bukit Batok Street 52,https://www.propertyguru.com.sg/listing/hdb-for-sale-512-bukit-batok-street-52-22876423,"530,000",3 ,3 ,1582,15m,1986,2020-07-15 17:14:41.615238
126D Edgedale Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-126d-edgedale-plains-22996780,"478,000",3 ,2 ,1184,16m,2001,2020-07-15 17:14:41.615238
192B Rivervale Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-192b-rivervale-drive-23000940,"488,000",3 ,2 ,1238,16m,1998,2020-07-15 17:14:41.615238
135 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-135-simei-street-1-22996995,"380,000",3 ,2 ,904,16m,1987,2020-07-15 17:14:41.615238
144 Lorong Ah Soo,https://www.propertyguru.com.sg/listing/hdb-for-sale-144-lorong-ah-soo-22997018,"690,000",3 ,3 ,1571,16m,1984,2020-07-15 17:14:41.615238
138 Simei Street 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-138-simei-street-1-22578012,"420,000",3 ,2 ,904,16m,1987,2020-07-15 17:14:41.615238
311 Tampines Street 33,https://www.propertyguru.com.sg/listing/hdb-for-sale-311-tampines-street-33-22052609,"720,000",4 ,2 ,1593,16m,1992,2020-07-15 17:14:41.615238
182 Bedok North Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-182-bedok-north-road-21915132,"648,000",3 ,2 ,990,16m,2004,2020-07-15 17:14:41.615238
209C Compassvale Lane,https://www.propertyguru.com.sg/listing/hdb-for-sale-209c-compassvale-lane-22813972,"448,000",3 ,2 ,990,16m,2010,2020-07-15 17:14:41.615238
672D Edgefield Plains,https://www.propertyguru.com.sg/listing/hdb-for-sale-672d-edgefield-plains-22237002,"428,000",3 ,2 ,969,17m,2014,2020-07-15 17:14:41.615238
